jugador;maquina;fecha
1;2;1668015247.0078657
0;1;1668015248.600544
0;1;1668015250.0957968
0;2;1668015256.6327586
1;1;1668015260.6158264
1;2;1668015263.0878043
1;1;1668015264.567702
1;0;1668015266.5358605
0;2;1668015268.8647566
2;2;1668015271.3837068
2;2;1668015273.5762188
2;2;1668015275.0162346
2;1;1668015276.1677787
1;2;1668015278.079594
1;1;1668015279.5916069
1;1;1668015280.8555927
1;0;1668015282.135395
0;1;1668015283.5839152
0;1;1668015286.607519
0;1;1668015288.1761618
0;2;1668015289.4794588
1;1;1668015291.2074094
1;1;1668015292.9355946
1;2;1668015294.2074602
1;1;1668015295.5599465
1;0;1668015296.6875246
1;0;1668015319.496878
0;0;1668015500.9029422
